id,subtype,identifier,hardness,resistance,step_sound,light_opacity,light_level,flags
0,0,air,0.0,0.0,step.stone,0,0,0
1,0,stone,1.5,6.0,step.stone,255,0,0
1,1,granite,1.5,6.0,step.stone,255,0,0
1,2,granite_smooth,1.5,6.0,step.stone,255,0,0
1,3,diorite,1.5,6.0,step.stone,255,0,0
1,4,diorite_smooth,1.5,6.0,step.stone,255,0,0
1,5,andesite,1.5,6.0,step.stone,255,0,0
1,6,andesite_smooth,1.5,6.0,step.stone,255,0,0
2,0,grass,0.6,0.6,step.grass,255,0,0
3,0,dirt,0.5,0.5,step.gravel,255,0,0
3,1,coarse_dirt,0.5,0.5,step.gravel,255,0,0
3,2,podzol,0.5,0.5,step.gravel,255,0,0
4,0,cobblestone,2.0,6.0,step.stone,255,0,0
5,0,planks,2.0,3.0,step.wood,255,0,0
5,1,spruce_planks,2.0,3.0,step.wood,255,0,0
5,2,birch_planks,2.0,3.0,step.wood,255,0,0
5,3,jungle_planks,2.0,3.0,step.wood,255,0,0
5,4,acacia_planks,2.0,3.0,step.wood,255,0,0
5,5,dark_oak_planks,2.0,3.0,step.wood,255,0,0
6,0,sapling,0.0,0.0,step.grass,0,0,0
6,1,spruce_sapling,0.0,0.0,step.grass,0,0,0
6,2,birch_sapling,0.0,0.0,step.grass,0,0,0
6,3,jungle_sapling,0.0,0.0,step.grass,0,0,0
6,4,acacia_sapling,0.0,0.0,step.grass,0,0,0
6,5,dark_oak_sapling,0.0,0.0,step.grass,0,0,0
6,8,birch_sapling,0.0,0.0,step.grass,0,0,0
6,9,jungle_sapling,0.0,0.0,step.grass,0,0,0
6,10,acacia_sapling,0.0,0.0,step.grass,0,0,0
6,11,dark_oak_sapling,0.0,0.0,step.grass,0,0,0
6,12,oak_sapling,0.0,0.0,step.grass,0,0,0
6,13,spruce_sapling,0.0,0.0,step.grass,0,0,0
7,0,bedrock,-1.0,3600000.0,step.stone,255,0,0
8,0,flowing_water,100.0,100.0,step.stone,3,0,0
8,1,flowing_water,100.0,100.0,step.stone,3,0,0
8,2,flowing_water,100.0,100.0,step.stone,3,0,0
8,3,flowing_water,100.0,100.0,step.stone,3,0,0
8,4,flowing_water,100.0,100.0,step.stone,3,0,0
8,5,flowing_water,100.0,100.0,step.stone,3,0,0
8,6,flowing_water,100.0,100.0,step.stone,3,0,0
8,7,flowing_water,100.0,100.0,step.stone,3,0,0
8,8,flowing_water,100.0,100.0,step.stone,3,0,0
8,9,flowing_water,100.0,100.0,step.stone,3,0,0
8,10,flowing_water,100.0,100.0,step.stone,3,0,0
8,11,flowing_water,100.0,100.0,step.stone,3,0,0
8,12,flowing_water,100.0,100.0,step.stone,3,0,0
8,13,flowing_water,100.0,100.0,step.stone,3,0,0
8,14,flowing_water,100.0,100.0,step.stone,3,0,0
8,15,flowing_water,100.0,100.0,step.stone,3,0,0
9,0,water,100.0,100.0,step.stone,3,0,0
9,1,water,100.0,100.0,step.stone,3,0,0
9,2,water,100.0,100.0,step.stone,3,0,0
9,3,water,100.0,100.0,step.stone,3,0,0
9,4,water,100.0,100.0,step.stone,3,0,0
9,5,water,100.0,100.0,step.stone,3,0,0
9,6,water,100.0,100.0,step.stone,3,0,0
9,7,water,100.0,100.0,step.stone,3,0,0
9,8,water,100.0,100.0,step.stone,3,0,0
9,9,water,100.0,100.0,step.stone,3,0,0
9,10,water,100.0,100.0,step.stone,3,0,0
9,11,water,100.0,100.0,step.stone,3,0,0
9,12,water,100.0,100.0,step.stone,3,0,0
9,13,water,100.0,100.0,step.stone,3,0,0
9,14,water,100.0,100.0,step.stone,3,0,0
9,15,water,100.0,100.0,step.stone,3,0,0
10,0,flowing_lava,100.0,100.0,step.stone,0,15,0
10,1,flowing_lava,100.0,100.0,step.stone,0,15,0
10,2,flowing_lava,100.0,100.0,step.stone,0,15,0
10,3,flowing_lava,100.0,100.0,step.stone,0,15,0
10,4,flowing_lava,100.0,100.0,step.stone,0,15,0
10,5,flowing_lava,100.0,100.0,step.stone,0,15,0
10,6,flowing_lava,100.0,100.0,step.stone,0,15,0
10,7,flowing_lava,100.0,100.0,step.stone,0,15,0
10,8,flowing_lava,100.0,100.0,step.stone,0,15,0
10,9,flowing_lava,100.0,100.0,step.stone,0,15,0
10,10,flowing_lava,100.0,100.0,step.stone,0,15,0
10,11,flowing_lava,100.0,100.0,step.stone,0,15,0
